country,stemming
африка восток,африка восток
африка запад,африка запад
арабские страны,арабские стра
аргентина,аргентин
австралия,австрал
австрия,австр
бангладеш,бангладеш
бельгия,бельг
бразилия,бразил
болгария,болгар
канада,канад
чили,чил
китай,кита
колумбия,колумб
хорватия,хорват
чешская республика,чешская республик
дания,дан
эль сальвадор,эль сальвадор
эстония,эстон
финляндия,финлянд
франция,франц
франция,француж
германия,герман
германия,немк
германия,немец
великобритания,великобритан
греция,грец
гонконг,гонконг
венгрия,венгр
индия,инд
индонезия,индонез
иран,ира
ирландия,ирланд
италия,итал
япония,япон
"корея, юг","корея, юг"
латвия,латв
литва,литв
люксембург,люксембург
малайзия,малайз
мальта,мальт
мексика,мексик
марокко,марокк
нидерланды,нидерланд
новая зеландия,новая зеланд
норвегия,норвег
пакистан,пакиста
перу,пер
филиппины,филиппин
польша,польш
португалия,португал
румыния,румын
россия,росс
сербия,серб
сингапур,сингапур
словацкая республика,словацкая республик
словения,словен
испания,испан
швеция,швец
швейцария,швейцар
тайвань,тайван
таиланд,таиланд
тринидад и тобаго,тринидад и тобаг
турция,турц
америка,америк
уругвай,уругва
венесуэла,венесуэл
вьетнам,вьетн
